FEDERAL GOV EMPLOYEES CO-OP,,,,,,
AL HILOU GROCERY,,4-3935262,+971-4-3935262,,,
KINGSTON GARDEN LANDSCAPING,,4-3555808,,,,
MUFTAH AL MUFTAH GENERAL TRADING (LLC),,4-2293768,+971-4-2234278,,,
AL TAWAZEN  GENERAL TRADING (LLC),,4-4550150,+971-4-3955926,,,
AL NASEEHA  BUILDING MATERIALS TRADING CO. (L.L.C.),alnaseeha@eim.ae,50-6450153,+971-?04-2582865,www.alnaseeha.com,,
BOXX TECHNOLOGIES COMPUTER TRADING L L C,accounts@boxxmea.com,4-3386228,,www.boxxmea.com,,
JAMAHEER  CONSTRUCTIONS (L.L.C.),info@jamaheerdubai.com,042854565,042856743,,,
M.B.A ENGINEERING CONSULTANCY,mba@mbaarchitect.ae,044572204,044572207,,,
ROYAL MERIT GENERAL LAND TRANSPORT,merit@eim.ae,4-2731918,+971-4-2723245,,,
JANUS BUILDING MATERIALS TRADING,suniloja@eim.ae,4-3963202,+971-4-3963201,,,
KASER  MILLI  JEWELLERY (LLC),kasermillijewellery@hotmail.com,4-2353967,+971-4-2353968,,,
TRIO LIGHT  COMMUNICATION NETWORK INSTALLATION (LLC),info@triolight.ae,4-4502909,+971-4-8850605,,,
NEW GENERATION  GENERAL LAND TRANSPORT,ngglt@yahoo.com,50-6548882,+971-4-2383552,,,
KHALID AL SUMAITI  MOBILE PHONES,khalidalsumaiti@gmail.com,4-3969090,+971-4-3966653,,,
AHMED MUHAMMAD SHARIF & SONS  GENERAL TRADING  (LLC),ss2078ninja@yahoo.com,04-2724071,+971-(497) 127-2407 x9,,,
F.B.R.GENERAL TRADING (LLC),payman@fbrco.com,4-2297801,+971-4-2297802,,,
AL HANA MEDICAL EQUIPMENTS,alhaname@emirates.net.ae,4-3982631,+971-4-3982636,,,
VARIETY CHOICE  TRADING (LLC),,4-2294306,+971---0000000,,,
WISE HILL GENERAL TRADING (LLC),,4-3518700,+971-4-3515723,,,
VALTRONICS TRADING (LLC),sales@valtronics.ae,4-8850771,+971-4-8851770,,,
DUBAI ADVANTAGE CONTRACTING (L.L.C.),gbsdubai@emirates.net.ae,4-3377656,+971-4-3337035,,,
A 3 DESIGN (L.L.C),A3adv@emirates.net.ae,4-3386861,4-3386869,,,
AL JAFLAH GENERAL TRANSPORT,aljaflah@emirates.net.ae,4-6551818,+971-4-3333232,,,
AL REEM SAFETY SYSTEMS(L L C),,4-2675615,+971-?04-2675615,,,
ARCO COMPUTERS (L.L.C.),arcoc@eim.ae,4-3930744,+971-4-3930037,,,
BARE SPA  SALOON,accounts@baresalongroup.com,4-3638883,4-3674446,www.baresalongroup.com,,
EAGLE  GENERAL LAND TRANSPORT (L.L.C),osamaasinger@hotmail.com,4-8581880,+971-4-3333804,,,
FANI MADE GARMENTS TRADING CO. (L.L.C),fanidxb@yahoo.com,042220357,042270989,,,
INTERNATIONAL SUPPLIES  EST.,sales-sales-dxb@unitedsupplies.comae,50-6500582,+971-4-2688656,www.unitedsupplies.com,,
ISLAND DREAM GENERAL TRANSPORT( L.L.C),shkoorabdo76@yahoo.com,4-2293357,+971-4-2293358,,,
MONTREAL TRADING (L.L.C) BR,abbey@montrealuae.com,,+971-(497) 188-6407 x3,,,
NORTH SEA GENERAL LAND TRANSPORT,,,+971-4-3333749,,,
QADRI COMPUTERS(L.L.C),adagia@emirates.net.ae,4-3517971,+971-(497) 135-1797 x4,,,
SAFEER AL BAHAR GENERAL TRADING (L.L.C),sabllc@emirates.net.ae,4-2981980,+971-4-2981980,,,
SAHPAD TRADING (L.L.C) - DUBAI BR,info@sahpad.com,4-2694773,,,,
ZUHAIR ABU SEEDO TRADING CO. (L.L.C.) - BR,,,+971-4-3201442,,,
ZUHAIR ABU SEEDO TRADING CO. (L.L.C.)- BR,,,+971-4-3201446,,,
50 DEGREES SUNGLASSES,,,,,,
A.V.L GENERAL LAND TRANSPORT (L.L.C),info@avltrans.com,4-2287686,+971-4-2857545,,,
AALI NEZHAD GENERAL TRADING CO (L.L.C.),anetco@emirates.net.ae,4-2256892,+971-4-2256892,,,
ABB INDUSTRIES (L.L.C)-BRANCH,abbdubai@emirates.net.ae,043401777,043401771,http://www.mena.abb.com,,
ABDAN  GENERAL TRADING(LLC),,4-2626323,+971-4-2633824,,,
ABDUL JABBAR GABER ELEVATORS & ESCALATORS INSTALLATION (L.L.C),g_elevators@hotmail.com,04-2590269,04-2590269,,,
ABDULRAB MUBARAK TRADING,,4-2267008,,,,
ABNIYA INVESTMENT (L.L.C.),zakaria@dcigroup.ae,04-3365933,+971-4-3368889,,,
ABS-CBN MIDDLE EAST (L.L.C),,4-3902180,+971-4-3908021,,,
ABU MASOOD PHONES (L.L.C),,4-2735941,+971-4-2735943,,,
ABU WAFA VEGETABLES & FRUITS (L.L.C),abuwafa786@gmail.com,043336345,+971-4-2875923,,,
ADMIRAL SPORT (L.L.C),admiralsport@yahoo.com,4-2261067,+971-4-2518951,,,
ADVANCED  BUSINESS GROUP A B G (L L C),,4-3387677,+971-4-3387577,,,
ADVANCED BUSINESS CONCEPT  A B C GENERAL TRADING   (LLC),,4-4595953,+971-4-3948383,,,
AGAN DMCC,agandmcc@gmail.com,04-5542186,,,,
AKKA TRADING CO. (L.L.C.),talla1@emirates.net.ae,4-2277311,+971-4-2277311,,,
AL ABSAR SALOON,,4-3538157,,,,
AL ARAB CAR RENT A CAR,,,+971-4-2284884,,,
AL ARABI TRAVEL AGENCY,admin@alarabitravel.ae,50-6509068,,,,
AL ARRAB ELECTROMECHANICAL ENGINEERING (L.L.C),hani.matar@alarrab-me.ae,4-3467791,+971-4-3467792,www.alarrab-eme.ae,,
AL ARYAM GROCERY,,4-3944243,,,,
AL ASBAR AUTO INDUSTRIES (L.L.C),vipul@alasbar.com,04-8856116,04-8856161,www.alasbar.com,,
AL BAHA BUILDINGS  CLEANING (L.L.C),,4-3934498,+971-4-3931123,,,
AL BAWAREH KITCHEN & RESTAURANT,food@redpepperuae.com,4-2969444,,,,
