Name,Street,House_number,Zip_code,City,Tel,Email,Website
1. Mädchenhaus Kassel 1992 Verein zur Unterstützung feministischer Mädchenarbeit e.V.,Annastr.,9,34119,Kassel,0561 71785,maedchenhauskassel@web.de,http://www.maedchenhauskassel.de/
<< aide >> Verein der Förderer Behinderter und Freundeder Max-Kirmsse Schule e.V. Idstein,Kirmsseweg,10-12,65510,Idstein,06126 23282,info@maxkirmsseschule.de,http://www.aide-mks.de
Advent-Kindergarten e.V.,Heimstättenweg,97 B,64295,Darmstadt,06151 319518,adventkiga-darmstadt@gmx.net,http://www.advent-kindergarten.de/
ADVENT-WOHLFAHRTSWERK e.V. Landesstelle Hessen.,Heidelberger Landstr.,24,64297,Darmstadt,06151 9182210,aww.mrv@adventisten.de,http://www.adventisten-mrv.de
Afrika Projekt e.V. - Verein für Entwicklungszusammenarbeit,Postfach,60 05 14,60335,Frankfurt am Main,0163 7745589,info@afrika-projekt.org,http://www.afrika-projekt.org/
AG Freizeit für Behinderte und Nichtbehinderte e.V.,Am Erlengraben,12 a,35037,Marburg,06421 1696760,info@ag-freizeit.de,http://www.ag-freizeit.de/
Agnes-Geering-Heim e.V.,Hohemarkstr.,166,61440,Oberursel,06171 21511,lothar.m.wachter@t-online.de,http://www.agnes-geering-heim.de/
AGOGI e.V.,Wöllstädter Str.,18,60385,Frankfurt,069 94506686,mail@agogi-frankfurt.org,www.agogi-frankfurt.org
AIDS-AUFKLÄRUNG e.V.,Große Seestr.,31,60486,Frankfurt am Main,069 762933,info@aids-aufklaerung.de,
Aids-Hilfe Darmstadt e.V.,Elisabethenstr.,45,64283,Darmstadt,06151 28073,info@darmstadt.aidshilfe.de,
AIDS-Hilfe Frankfurt e.V.,Friedberger Anlage,24,60316,Frankfurt,069 4058680,info@frankfurt.aidshilfe.de,http://www.frankfurt-aidshilfe.de/
AIDS-Hilfe Fulda e.V.,Friedrichstr.,4,36037,Fulda,0661 77011,info@aidshilfe-fulda.de,
AIDS-Hilfe Gießen e.V.,Diezstr.,8,35390,Gießen,0641 390226,AH-GI@t-online.de,
